date,price,log_price,r
2019-10-24,1.05,0.04879016416943204,0.0
2019-10-25,1.05,0.04879016416943204,0.0
2019-10-28,1.05,0.04879016416943204,0.0
2019-10-29,1.05,0.04879016416943204,0.0
2019-10-30,1.05,0.04879016416943204,0.0
2019-10-31,1.05,0.04879016416943204,0.0
2019-11-01,1.05,0.04879016416943204,0.0
2019-11-04,1.05,0.04879016416943204,0.0
2019-11-05,1.05,0.04879016416943204,0.0
2019-11-06,1.05,0.04879016416943204,0.0
2019-11-07,1.05,0.04879016416943204,0.0
2019-11-08,1.05,0.04879016416943204,0.0
2019-11-11,1.05,0.04879016416943204,0.0
2019-11-12,1.05,0.04879016416943204,0.0
2019-11-13,1.05,0.04879016416943204,0.0
2019-11-14,1.05,0.04879016416943204,0.0
2019-11-15,1.05,0.04879016416943204,0.0
2019-11-18,1.05,0.04879016416943204,0.0
2019-11-19,1.05,0.04879016416943204,0.0
2019-11-20,1.05,0.04879016416943204,0.0
2019-11-21,1.05,0.04879016416943204,0.0
2019-11-22,1.05,0.04879016416943204,0.0
2019-11-25,1.05,0.04879016416943204,0.0
2019-11-26,1.05,0.04879016416943204,0.0
2019-11-27,1.05,0.04879016416943204,0.0
2019-11-29,1.05,0.04879016416943204,0.0
2019-12-02,1.05,0.04879016416943204,0.0
2019-12-03,1.05,0.04879016416943204,0.0
2019-12-04,1.05,0.04879016416943204,0.0
2019-12-05,1.05,0.04879016416943204,0.0
2019-12-06,1.05,0.04879016416943204,0.0
2019-12-09,1.05,0.04879016416943204,0.0
2019-12-10,1.05,0.04879016416943204,0.0
2019-12-11,1.05,0.04879016416943204,0.0
2019-12-12,1.05,0.04879016416943204,0.0
2019-12-13,1.05,0.04879016416943204,0.0
2019-12-16,1.05,0.04879016416943204,0.0
2019-12-17,1.05,0.04879016416943204,0.0
2019-12-18,1.05,0.04879016416943204,0.0
2019-12-19,1.05,0.04879016416943204,0.0
2019-12-20,1.05,0.04879016416943204,0.0
2019-12-23,1.05,0.04879016416943204,0.0
2019-12-24,1.05,0.04879016416943204,0.0
2019-12-26,1.05,0.04879016416943204,0.0
2019-12-27,1.05,0.04879016416943204,0.0
2019-12-30,1.05,0.04879016416943204,0.0
2019-12-31,1.05,0.04879016416943204,0.0
2020-01-02,1.05,0.04879016416943204,0.0
2020-01-03,1.05,0.04879016416943204,0.0
2020-01-06,1.05,0.04879016416943204,0.0
2020-01-07,1.05,0.04879016416943204,0.0
2020-01-08,1.05,0.04879016416943204,0.0
2020-01-09,1.05,0.04879016416943204,0.0
2020-01-10,1.05,0.04879016416943204,0.0
2020-01-13,1.05,0.04879016416943204,0.0
2020-01-14,1.05,0.04879016416943204,0.0
2020-01-15,1.05,0.04879016416943204,0.0
2020-01-16,1.05,0.04879016416943204,0.0
2020-01-17,1.05,0.04879016416943204,0.0
2020-01-21,1.05,0.04879016416943204,0.0
2020-01-22,1.05,0.04879016416943204,0.0
2020-01-23,1.05,0.04879016416943204,0.0
2020-01-24,1.05,0.04879016416943204,0.0
2020-01-27,1.05,0.04879016416943204,0.0
2020-01-28,1.05,0.04879016416943204,0.0
2020-01-29,1.05,0.04879016416943204,0.0
2020-01-30,1.05,0.04879016416943204,0.0
2020-01-31,1.05,0.04879016416943204,0.0
2020-02-03,1.05,0.04879016416943204,0.0
2020-02-04,1.05,0.04879016416943204,0.0
2020-02-05,1.05,0.04879016416943204,0.0
2020-02-06,1.05,0.04879016416943204,0.0
2020-02-07,1.05,0.04879016416943204,0.0
2020-02-10,1.05,0.04879016416943204,0.0
2020-02-11,1.05,0.04879016416943204,0.0
